trial,n,W,T,Serial,Parallel
1,2,1000,131072,294.340,335.470
1,2,2000,131072,574.298,608.243
1,2,4000,131072,1123.578,1162.539
1,2,8000,131072,2236.405,2273.204
1,3,1000,131072,575.844,349.253
1,3,2000,131072,1127.188,616.885
1,3,4000,131072,2244.087,1177.656
1,3,8000,131072,4465.539,2313.432
1,5,1000,131072,1155.718,372.224
1,5,2000,131072,2263.280,689.392
1,5,4000,131072,4494.112,1301.431
1,5,8000,131072,8957.891,2573.268
1,9,1000,131072,2295.011,427.407
1,9,2000,131072,4527.614,721.751
1,9,4000,131072,8982.553,1358.051
1,9,8000,131072,17903.820,2543.862
1,14,1000,131072,3718.556,751.702
1,14,2000,131072,7315.557,1016.899
1,14,4000,131072,14497.536,1339.719
1,14,8000,131072,28876.066,2560.342
1,28,1000,131072,7734.856,1842.704
1,28,2000,131072,15263.227,5774.626
1,28,4000,131072,30324.062,8183.858
1,28,8000,131072,60419.168,17835.314
2,2,1000,131072,292.986,313.150
2,2,2000,131072,570.003,612.718
2,2,4000,131072,1129.111,1162.073
2,2,8000,131072,2242.971,2273.432
2,3,1000,131072,577.673,367.240
2,3,2000,131072,1133.538,628.894
2,3,4000,131072,2252.506,1210.336
2,3,8000,131072,4477.932,2275.385
2,5,1000,131072,1148.488,363.680
2,5,2000,131072,2269.272,683.268
2,5,4000,131072,4499.011,1295.108
2,5,8000,131072,8949.833,2547.689
2,9,1000,131072,2287.870,454.740
2,9,2000,131072,4518.031,714.207
2,9,4000,131072,8984.617,1335.304
2,9,8000,131072,17900.008,2537.008
2,14,1000,131072,3725.156,640.580
2,14,2000,131072,7348.040,774.532
2,14,4000,131072,14598.240,1415.475
2,14,8000,131072,29090.932,2563.827
2,28,1000,131072,7735.877,1909.140
2,28,2000,131072,15255.976,5397.506
2,28,4000,131072,30311.205,8784.307
2,28,8000,131072,60591.906,23120.477
3,2,1000,131072,289.746,321.367
3,2,2000,131072,577.784,595.881
3,2,4000,131072,1127.486,1185.946
3,2,8000,131072,2250.221,2318.902
3,3,1000,131072,579.743,359.941
3,3,2000,131072,1128.629,663.263
3,3,4000,131072,2267.949,1274.969
3,3,8000,131072,4489.781,2521.968
3,5,1000,131072,1151.174,377.161
3,5,2000,131072,2273.098,705.885
3,5,4000,131072,4490.399,1294.748
3,5,8000,131072,8949.366,2557.239
3,9,1000,131072,2290.665,456.023
3,9,2000,131072,4516.570,705.921
3,9,4000,131072,8977.117,1345.374
3,9,8000,131072,17920.811,2555.320
3,14,1000,131072,3720.190,800.488
3,14,2000,131072,7357.227,861.785
3,14,4000,131072,14597.163,1348.615
3,14,8000,131072,29076.768,2610.789
3,28,1000,131072,7724.736,3988.926
3,28,2000,131072,15157.133,2635.292
3,28,4000,131072,30110.436,8461.193
3,28,8000,131072,60402.387,14846.026
4,2,1000,131072,292.007,325.439
4,2,2000,131072,572.277,611.206
4,2,4000,131072,1128.500,1146.990
4,2,8000,131072,2242.694,2268.914
4,3,1000,131072,575.599,367.371
4,3,2000,131072,1137.429,657.417
4,3,4000,131072,2254.980,1174.067
4,3,8000,131072,4479.035,2331.615
4,5,1000,131072,1152.359,379.742
4,5,2000,131072,2259.708,701.843
4,5,4000,131072,4493.259,1315.588
4,5,8000,131072,8948.125,2523.843
4,9,1000,131072,2293.522,455.253
4,9,2000,131072,4522.554,720.730
4,9,4000,131072,8985.429,1339.564
4,9,8000,131072,17903.551,2538.473
4,14,1000,131072,3725.050,723.223
4,14,2000,131072,7347.641,993.345
4,14,4000,131072,14597.049,1317.472
4,14,8000,131072,29086.111,2585.090
4,28,1000,131072,7715.966,2683.516
4,28,2000,131072,15261.901,4827.196
4,28,4000,131072,30311.342,5874.116
4,28,8000,131072,60018.391,16022.096
5,2,1000,131072,290.405,331.775
5,2,2000,131072,569.240,607.677
5,2,4000,131072,1129.907,1144.609
5,2,8000,131072,2242.901,2265.018
5,3,1000,131072,573.707,328.719
5,3,2000,131072,1133.815,619.056
5,3,4000,131072,2250.913,1168.873
5,3,8000,131072,4475.292,2282.516
5,5,1000,131072,1146.533,364.988
5,5,2000,131072,2268.048,687.137
5,5,4000,131072,4465.045,1319.311
5,5,8000,131072,8929.661,2545.942
5,9,1000,131072,2289.825,472.027
5,9,2000,131072,4526.259,714.040
5,9,4000,131072,8984.202,1327.248
5,9,8000,131072,17783.961,2574.387
5,14,1000,131072,3693.056,826.926
5,14,2000,131072,7324.657,867.759
5,14,4000,131072,14502.033,1370.308
5,14,8000,131072,28885.732,2627.128
5,28,1000,131072,7728.419,4445.763
5,28,2000,131072,15268.964,9271.238
5,28,4000,131072,30107.891,12178.040
5,28,8000,131072,60444.863,16292.993
