trial,n,W,T,Parallel
1,2,1,4194304,1751.553
1,3,1,2097152,2118.982
1,5,1,1048576,2969.089
1,9,1,524288,1654.063
1,14,1,322638,1974.250
1,28,1,155344,4944.315
2,2,1,4194304,2466.350
2,3,1,2097152,3063.918
2,5,1,1048576,2035.886
2,9,1,524288,3091.677
2,14,1,322638,1816.542
2,28,1,155344,9878.180
3,2,1,4194304,1846.831
3,3,1,2097152,3329.622
3,5,1,1048576,1906.245
3,9,1,524288,2782.202
3,14,1,322638,1958.562
3,28,1,155344,15576.814
4,2,1,4194304,1792.947
4,3,1,2097152,2288.193
4,5,1,1048576,2619.693
4,9,1,524288,2725.052
4,14,1,322638,2124.685
4,28,1,155344,4001.457
5,2,1,4194304,1855.723
5,3,1,2097152,2323.815
5,5,1,1048576,2440.656
5,9,1,524288,2668.251
5,14,1,322638,2353.776
5,28,1,155344,5294.299
