trial,n,W,T,Serial,Parallel
1,2,1000,131072,325.833,358.528
1,2,2000,131072,634.021,666.840
1,2,4000,131072,1250.256,1283.567
1,2,8000,131072,2483.736,2499.563
1,3,1000,131072,651.172,391.589
1,3,2000,131072,1268.516,747.321
1,3,4000,131072,2501.672,1458.602
1,3,8000,131072,4969.307,2851.935
1,5,1000,131072,1304.305,462.714
1,5,2000,131072,2540.470,867.984
1,5,4000,131072,5011.731,1688.057
1,5,8000,131072,9953.133,3350.502
1,9,1000,131072,2613.055,696.772
1,9,2000,131072,5084.694,1340.810
1,9,4000,131072,10032.404,2645.845
1,9,8000,131072,19927.904,5260.340
1,14,1000,131072,4243.162,924.742
1,14,2000,131072,8262.023,1361.665
1,14,4000,131072,16298.538,2574.324
1,14,8000,131072,32374.148,5081.714
1,28,1000,131072,8811.416,6653.618
1,28,2000,131072,17151.885,14471.034
1,28,4000,131072,33840.133,35658.723
1,28,8000,131072,67207.453,42210.816
2,2,1000,131072,325.859,358.646
2,2,2000,131072,634.029,666.680
2,2,4000,131072,1250.453,1283.640
2,2,8000,131072,2483.466,2516.380
2,3,1000,131072,651.344,394.096
2,3,2000,131072,1268.150,760.820
2,3,4000,131072,2501.937,1451.118
2,3,8000,131072,4968.313,2835.735
2,5,1000,131072,1304.397,500.081
2,5,2000,131072,2540.296,946.336
2,5,4000,131072,5011.781,1676.192
2,5,8000,131072,9953.726,3359.104
2,9,1000,131072,2612.511,685.463
2,9,2000,131072,5085.018,1350.378
2,9,4000,131072,10033.282,2648.676
2,9,8000,131072,19926.160,5229.310
2,14,1000,131072,4243.423,1114.972
2,14,2000,131072,8265.990,1340.795
2,14,4000,131072,16297.970,2583.818
2,14,8000,131072,32373.436,5113.948
2,28,1000,131072,8809.441,3429.539
2,28,2000,131072,17155.465,13964.580
2,28,4000,131072,33835.172,19050.787
2,28,8000,131072,67206.844,36948.770
3,2,1000,131072,325.894,358.420
3,2,2000,131072,633.883,666.883
3,2,4000,131072,1250.345,1266.979
3,2,8000,131072,2483.379,2516.716
3,3,1000,131072,651.321,389.163
3,3,2000,131072,1268.023,761.470
3,3,4000,131072,2501.757,1469.243
3,3,8000,131072,4967.994,2848.765
3,5,1000,131072,1304.519,475.020
3,5,2000,131072,2540.597,874.656
3,5,4000,131072,5011.551,1709.910
3,5,8000,131072,9953.786,3323.244
3,9,1000,131072,2613.432,687.433
3,9,2000,131072,5085.532,1347.469
3,9,4000,131072,10033.201,2653.048
3,9,8000,131072,19926.408,5250.336
3,14,1000,131072,4242.944,1145.140
3,14,2000,131072,8264.669,1337.424
3,14,4000,131072,16298.934,2565.964
3,14,8000,131072,32376.607,5134.829
3,28,1000,131072,8811.039,9141.905
3,28,2000,131072,17154.379,12976.837
3,28,4000,131072,33835.594,27023.031
3,28,8000,131072,67209.617,41893.207
4,2,1000,131072,325.847,358.466
4,2,2000,131072,634.131,666.649
4,2,4000,131072,1250.580,1283.114
4,2,8000,131072,2483.824,2516.212
4,3,1000,131072,651.192,415.247
4,3,2000,131072,1268.405,741.684
4,3,4000,131072,2502.256,1441.847
4,3,8000,131072,4968.423,2848.891
4,5,1000,131072,1304.380,449.897
4,5,2000,131072,2539.760,862.799
4,5,4000,131072,5012.005,1702.135
