trial,n,W,T,Serial,Serial-Queue
1,2,25,21474836,2624.146,4053.854
1,2,50,10737418,1866.896,2596.286
1,2,100,5368709,1511.142,1868.162
1,2,200,2684354,1330.752,1509.467
1,2,400,1342177,1234.073,1328.653
1,2,800,671088,1192.949,1238.334
1,9,25,4772185,4612.550,7146.459
1,9,50,2386092,3328.158,4573.808
1,9,100,1193046,2685.471,3323.252
1,9,200,596523,2364.111,2672.245
1,9,400,298261,2193.911,2351.004
1,9,800,149130,2116.272,2190.498
1,14,25,3067833,4856.618,7652.236
1,14,50,1533916,3476.885,4804.066
1,14,100,766958,2799.394,3467.180
1,14,200,383479,2462.192,2808.492
1,14,400,191739,2308.187,2459.767
1,14,800,95869,2209.799,2294.426
2,2,25,21474836,2635.837,4062.958
2,2,50,10737418,1899.108,2595.224
2,2,100,5368709,1505.735,1866.886
2,2,200,2684354,1334.540,1503.665
2,2,400,1342177,1234.567,1322.161
2,2,800,671088,1189.402,1237.971
2,9,25,4772185,4694.396,7162.254
2,9,50,2386092,3334.937,4552.423
2,9,100,1193046,2694.494,3307.207
2,9,200,596523,2360.173,2663.849
2,9,400,298261,2199.235,2345.826
2,9,800,149130,2121.539,2188.825
2,14,25,3067833,4770.592,7536.381
2,14,50,1533916,3494.825,4849.343
2,14,100,766958,2804.495,3462.973
2,14,200,383479,2465.221,2787.673
2,14,400,191739,2289.168,2460.793
2,14,800,95869,2214.718,2289.277
3,2,25,21474836,2652.591,4023.407
3,2,50,10737418,1874.280,2603.296
3,2,100,5368709,1512.649,1864.783
3,2,200,2684354,1344.356,1508.100
3,2,400,1342177,1234.545,1326.189
3,2,800,671088,1195.518,1235.213
3,9,25,4772185,4646.417,7149.656
3,9,50,2386092,3331.947,4596.789
3,9,100,1193046,2688.416,3284.217
3,9,200,596523,2352.263,2664.932
3,9,400,298261,2196.707,2347.322
3,9,800,149130,2112.855,2193.089
3,14,25,3067833,4824.158,7473.065
3,14,50,1533916,3477.329,4783.392
3,14,100,766958,2801.587,3449.027
3,14,200,383479,2459.845,2790.326
3,14,400,191739,2296.538,2455.081
3,14,800,95869,2209.635,2286.430
4,2,25,21474836,2619.856,4072.000
4,2,50,10737418,1881.548,2591.144
4,2,100,5368709,1504.246,1851.249
4,2,200,2684354,1326.499,1507.512
4,2,400,1342177,1236.368,1323.613
4,2,800,671088,1191.707,1234.122
4,9,25,4772185,4651.683,7147.226
4,9,50,2386092,3355.333,4589.713
4,9,100,1193046,2676.426,3310.480
4,9,200,596523,2353.007,2650.077
4,9,400,298261,2197.822,2342.905
4,9,800,149130,2234.407,2238.988
4,14,25,3067833,4860.200,7484.025
4,14,50,1533916,3450.801,4789.550
4,14,100,766958,2790.471,3468.649
4,14,200,383479,2465.515,2784.401
4,14,400,191739,2294.119,2456.411
4,14,800,95869,2212.272,2289.920
5,2,25,21474836,2599.334,4038.435
5,2,50,10737418,1872.607,2591.293
5,2,100,5368709,1507.243,1861.670
5,2,200,2684354,1325.373,1498.777
5,2,400,1342177,1239.221,1313.418
5,2,800,671088,1194.226,1228.311
5,9,25,4772185,4658.925,7134.936
5,9,50,2386092,3339.669,4546.415
5,9,100,1193046,2682.889,3311.961
5,9,200,596523,2354.252,2670.947
5,9,400,298261,2194.538,2346.118
5,9,800,149130,2114.679,2191.213
5,14,25,3067833,4899.434,7576.106
5,14,50,1533916,3470.307,4789.440
5,14,100,766958,2795.196,3441.909
5,14,200,383479,2461.655,2782.663
5,14,400,191739,2293.499,2457.878
5,14,800,95869,2206.801,2289.653
