trial,n,W,T,Serial,Parallel
1,2,1000,131072,318.615,358.979
1,2,2000,131072,625.686,666.169
1,2,4000,131072,1247.342,1287.801
1,2,8000,131072,2482.137,2522.815
1,3,1000,131072,635.988,395.375
1,3,2000,131072,1254.006,696.655
1,3,4000,131072,2493.240,1321.218
1,3,8000,131072,4961.846,2549.082
1,5,1000,131072,1273.246,384.494
1,5,2000,131072,2510.169,687.482
1,5,4000,131072,4981.620,1300.767
1,5,8000,131072,9923.095,2545.838
1,9,1000,131072,2546.762,514.809
1,9,2000,131072,5015.179,697.433
1,9,4000,131072,9958.083,1332.010
1,9,8000,131072,19842.383,2557.476
1,14,1000,131072,4140.188,658.239
1,14,2000,131072,8150.185,739.946
1,14,4000,131072,16185.878,1374.464
1,14,8000,131072,32240.980,2605.184
1,28,1000,131072,8596.008,7490.606
1,28,2000,131072,16932.822,7715.028
1,28,4000,131072,33600.172,10530.437
1,28,8000,131072,66930.969,29307.531
2,2,1000,131072,318.642,359.088
2,2,2000,131072,625.544,665.982
2,2,4000,131072,1247.199,1287.387
2,2,8000,131072,2481.971,2523.270
2,3,1000,131072,636.033,373.271
2,3,2000,131072,1254.091,675.401
2,3,4000,131072,2493.128,1304.056
2,3,8000,131072,4961.479,2532.934
2,5,1000,131072,1273.798,371.529
2,5,2000,131072,2509.431,690.530
2,5,4000,131072,4981.049,1310.361
2,5,8000,131072,9922.362,2535.151
2,9,1000,131072,2547.152,470.724
2,9,2000,131072,5019.301,702.611
2,9,4000,131072,9955.021,1309.622
2,9,8000,131072,19839.770,2566.991
2,14,1000,131072,4139.328,742.448
2,14,2000,131072,8149.179,875.488
2,14,4000,131072,16181.351,1355.290
2,14,8000,131072,32236.742,2614.865
2,28,1000,131072,8599.537,3490.747
2,28,2000,131072,16928.947,7359.082
2,28,4000,131072,33599.895,7295.728
2,28,8000,131072,66926.531,23316.752
3,2,1000,131072,319.130,358.941
3,2,2000,131072,625.628,666.197
3,2,4000,131072,1247.121,1287.615
3,2,8000,131072,2481.758,2522.479
3,3,1000,131072,636.523,368.215
3,3,2000,131072,1253.945,700.011
3,3,4000,131072,2493.018,1298.843
3,3,8000,131072,4961.769,2531.078
3,5,1000,131072,1274.484,393.118
3,5,2000,131072,2509.880,678.364
3,5,4000,131072,4981.447,1306.148
3,5,8000,131072,9921.552,2550.827
3,9,1000,131072,2547.100,416.652
3,9,2000,131072,5015.011,688.623
3,9,4000,131072,9955.759,1322.366
3,9,8000,131072,19840.668,2555.187
3,14,1000,131072,4139.051,929.012
3,14,2000,131072,8147.173,783.897
3,14,4000,131072,16181.279,1382.300
3,14,8000,131072,32240.037,2598.928
3,28,1000,131072,8595.238,4095.866
3,28,2000,131072,16928.104,6948.775
3,28,4000,131072,33602.910,10799.896
3,28,8000,131072,66932.602,21149.473
4,2,1000,131072,318.596,342.638
4,2,2000,131072,625.945,665.934
4,2,4000,131072,1247.074,1287.807
4,2,8000,131072,2482.310,2521.943
4,3,1000,131072,636.495,368.168
4,3,2000,131072,1253.920,691.570
4,3,4000,131072,2492.889,1283.875
4,3,8000,131072,4961.584,2529.980
4,5,1000,131072,1274.012,405.149
4,5,2000,131072,2510.729,680.558
4,5,4000,131072,4981.661,1294.183
4,5,8000,131072,9923.029,2527.380
4,9,1000,131072,2546.411,528.634
4,9,2000,131072,5015.293,686.524
4,9,4000,131072,9956.344,1317.430
4,9,8000,131072,19842.619,2549.728
4,14,1000,131072,4142.273,807.073
4,14,2000,131072,8152.562,1186.755
4,14,4000,131072,16190.630,2230.474
4,14,8000,131072,32285.619,2675.464
4,28,1000,131072,8606.963,4044.649
4,28,2000,131072,16945.820,2871.049
4,28,4000,131072,33603.434,26133.758
4,28,8000,131072,66934.203,22293.352
5,2,1000,131072,320.200,358.859
5,2,2000,131072,626.067,650.172
5,2,4000,131072,1247.180,1282.895
5,2,8000,131072,2482.254,2522.453
5,3,1000,131072,636.453,386.127
5,3,2000,131072,1254.034,691.655
5,3,4000,131072,2493.042,1296.831
5,3,8000,131072,4961.790,2525.612
5,5,1000,131072,1272.800,353.243
5,5,2000,131072,2512.990,686.674
5,5,4000,131072,4979.706,1291.495
5,5,8000,131072,9922.451,2529.812
5,9,1000,131072,2546.628,407.853
5,9,2000,131072,5015.464,730.743
5,9,4000,131072,9955.066,1365.184
5,9,8000,131072,19839.877,2593.638
5,14,1000,131072,4137.754,685.616
5,14,2000,131072,8147.907,742.438
5,14,4000,131072,16184.746,1352.798
5,14,8000,131072,32240.371,2616.929
5,28,1000,131072,8594.253,3217.383
5,28,2000,131072,16928.953,8817.839
5,28,4000,131072,33601.812,10671.155
5,28,8000,131072,66938.992,25547.836
