,Trial #,n,Serial,TAS,TTAS,Mutex,ALock,CLH
0,1,1,26.665001,159.671997,160.574997,300.802002,162.307999,162.317001
1,1,2,0.0,1814.390991,2097.166016,2001.297974,3695.00293,2674.844971
2,1,4,0.0,3353.74292,3557.125,1607.327026,3449.014893,2520.885986
3,1,8,0.0,6146.951172,6588.348145,2679.273926,3485.88208,2680.645996
4,1,14,0.0,12144.384766,11136.099609,2403.634033,3388.593018,2541.0
5,2,1,26.638,159.531998,171.087006,322.040009,162.285004,174.121002
6,2,2,0.0,2026.583008,1623.178955,1997.397949,3700.85791,2697.433105
7,2,4,0.0,3713.833008,3347.659912,1397.334961,3530.248047,2691.291016
8,2,8,0.0,5790.073242,7096.006836,2768.960938,3374.962891,2670.718994
9,2,14,0.0,12361.861328,11530.56543,2379.699951,3391.043945,2643.559082
10,3,1,26.660999,159.473999,171.093994,321.954987,162.307999,162.255997
11,3,2,0.0,2172.458984,1984.715942,2043.457031,3632.813965,2592.634033
12,3,4,0.0,3384.559082,3311.466064,1990.192993,3502.333008,2714.165039
13,3,8,0.0,6088.326172,7237.259766,2723.868896,3437.212891,2634.012939
14,3,14,0.0,12606.436523,11229.37207,2385.302979,3465.209961,2551.875977
15,4,1,26.620001,171.222,159.298996,300.790985,162.210999,162.354996
16,4,2,0.0,2106.89209,2056.306885,1739.322998,3633.760986,2560.508057
17,4,4,0.0,3516.780029,3261.072998,1613.792969,3552.425049,2678.573975
18,4,8,0.0,5833.188965,7269.925781,2574.405029,3585.248047,2689.915039
19,4,14,0.0,12567.630859,11447.03418,2419.414062,3403.220947,2445.167969
20,5,1,26.660999,159.380997,198.811996,300.673004,162.311005,162.259003
21,5,2,0.0,2188.780029,2274.721924,1804.275024,3547.706055,2641.062988
22,5,4,0.0,3473.925049,3379.518066,1613.105957,3380.789062,2658.459961
23,5,8,0.0,6050.285156,6733.506836,2618.896973,3521.343018,2638.139893
24,5,14,0.0,12497.78418,11502.967773,2422.987061,3362.498047,2479.894043
