Trial,Program,n,W,T
1,serial,1,1000,799821
1,lockfree,1,1000,766630
1,mutex homequeue,1,1000,734845
1,mutex awesome,1,1000,733494
1,clh homequeue,1,1000,759386
1,clh awesome,1,1000,757974
1,serial,1,2000,411817
1,lockfree,1,2000,403362
1,mutex homequeue,1,2000,394159
1,mutex awesome,1,2000,393482
1,clh homequeue,1,2000,401268
1,clh awesome,1,2000,401559
1,serial,1,4000,209232
1,lockfree,1,4000,206864
1,mutex homequeue,1,4000,204430
1,mutex awesome,1,4000,204421
1,clh homequeue,1,4000,206473
1,clh awesome,1,4000,206449
1,serial,1,8000,105500
1,lockfree,1,8000,104913
1,mutex homequeue,1,8000,104306
1,mutex awesome,1,8000,104320
1,clh homequeue,1,8000,104826
1,clh awesome,1,8000,104801
1,serial,2,1000,800678
1,lockfree,2,1000,1313143
1,mutex homequeue,2,1000,1257753
1,mutex awesome,2,1000,1431072
1,clh homequeue,2,1000,1288295
1,clh awesome,2,1000,1487421
1,serial,2,2000,411910
1,lockfree,2,2000,689151
1,mutex homequeue,2,2000,670499
1,mutex awesome,2,2000,775804
1,clh homequeue,2,2000,688141
1,clh awesome,2,2000,793902
1,serial,2,4000,209242
1,lockfree,2,4000,345730
1,mutex homequeue,2,4000,344638
1,mutex awesome,2,4000,405632
1,clh homequeue,2,4000,348801
1,clh awesome,2,4000,409903
1,serial,2,8000,105342
1,lockfree,2,8000,176801
1,mutex homequeue,2,8000,175586
1,mutex awesome,2,8000,204784
1,clh homequeue,2,8000,176359
1,clh awesome,2,8000,208679
1,serial,3,1000,800538
1,lockfree,3,1000,1875458
1,mutex homequeue,3,1000,1817772
1,mutex awesome,3,1000,2137302
1,clh homequeue,3,1000,1897262
1,clh awesome,3,1000,2234113
1,serial,3,2000,412221
1,lockfree,3,2000,997826
1,mutex homequeue,3,2000,966763
1,mutex awesome,3,2000,1163870
1,clh homequeue,3,2000,993655
1,clh awesome,3,2000,1189622
1,serial,3,4000,209355
1,lockfree,3,4000,503885
1,mutex homequeue,3,4000,502478
1,mutex awesome,3,4000,610430
1,clh homequeue,3,4000,508289
1,clh awesome,3,4000,615597
1,serial,3,8000,105183
1,lockfree,3,8000,254720
1,mutex homequeue,3,8000,255765
1,mutex awesome,3,8000,311194
1,clh homequeue,3,8000,256906
