Trial,Program,n,W,T
1,serial,3,1000,821466
1,lockfree,3,1000,2241979
1,mutex homequeue,3,1000,2142802
1,mutex awesome,3,1000,2156854
1,clh homequeue,3,1000,2226720
1,clh awesome,3,1000,2267506
1,serial,3,2000,417018
1,lockfree,3,2000,1146338
1,mutex homequeue,3,2000,1148044
1,mutex awesome,3,2000,1180212
1,clh homequeue,3,2000,1170556
1,clh awesome,3,2000,1200362
1,serial,3,4000,210387
1,lockfree,3,4000,571755
1,mutex homequeue,3,4000,584152
1,mutex awesome,3,4000,609713
1,clh homequeue,3,4000,602598
1,clh awesome,3,4000,619441
1,serial,3,8000,105645
1,lockfree,3,8000,303333
1,mutex homequeue,3,8000,302379
1,mutex awesome,3,8000,310939
1,clh homequeue,3,8000,305426
1,clh awesome,3,8000,313197
1,serial,7,1000,821331
1,lockfree,7,1000,4880923
1,mutex homequeue,7,1000,4911342
1,mutex awesome,7,1000,5043395
1,clh homequeue,7,1000,5086313
1,clh awesome,7,1000,3955248
1,serial,7,2000,417711
1,lockfree,7,2000,2644276
1,mutex homequeue,7,2000,2541058
1,mutex awesome,7,2000,2750183
1,clh homequeue,7,2000,2677370
1,clh awesome,7,2000,2797322
1,serial,7,4000,210413
1,lockfree,7,4000,1352448
1,mutex homequeue,7,4000,1347713
1,mutex awesome,7,4000,1424163
1,clh homequeue,7,4000,1375244
1,clh awesome,7,4000,1441552
1,serial,7,8000,105546
1,lockfree,7,8000,690152
1,mutex homequeue,7,8000,689758
1,mutex awesome,7,8000,724303
1,clh homequeue,7,8000,695996
1,clh awesome,7,8000,725921
1,serial,13,1000,821106
1,lockfree,13,1000,3302277
1,mutex homequeue,13,1000,4030894
1,mutex awesome,13,1000,3026845
1,clh homequeue,13,1000,3466391
1,clh awesome,13,1000,2135337
1,serial,13,2000,417937
1,lockfree,13,2000,3929080
1,mutex homequeue,13,2000,4840292
1,mutex awesome,13,2000,5045371
1,clh homequeue,13,2000,4865769
1,clh awesome,13,2000,3122400
1,serial,13,4000,210470
1,lockfree,13,4000,2407493
1,mutex homequeue,13,4000,2511527
1,mutex awesome,13,4000,2658576
1,clh homequeue,13,4000,2510354
1,clh awesome,13,4000,2672923
1,serial,13,8000,105885
1,lockfree,13,8000,1242817
1,mutex homequeue,13,8000,1276011
1,mutex awesome,13,8000,1353896
1,clh homequeue,13,8000,1281298
1,clh awesome,13,8000,1355493
1,serial,27,1000,820746
1,lockfree,27,1000,3171558
1,mutex homequeue,27,1000,1909998
1,mutex awesome,27,1000,2330019
1,clh homequeue,27,1000,1957899
1,clh awesome,27,1000,1684534
1,serial,27,2000,418095
1,lockfree,27,2000,631095
1,mutex homequeue,27,2000,1845764
1,mutex awesome,27,2000,3188219
1,clh homequeue,27,2000,313645
1,clh awesome,27,2000,1383242
1,serial,27,4000,210438
1,lockfree,27,4000,915107
1,mutex homequeue,27,4000,957791
1,mutex awesome,27,4000,2078847
1,clh homequeue,27,4000,949603
1,clh awesome,27,4000,1480494
1,serial,27,8000,106029
1,lockfree,27,8000,350144
1,mutex homequeue,27,8000,128535
1,mutex awesome,27,8000,1068185
1,clh homequeue,27,8000,716638
1,clh awesome,27,8000,901454
2,serial,3,1000,820629
2,lockfree,3,1000,2231305
2,mutex homequeue,3,1000,2119149
2,mutex awesome,3,1000,2179836
2,clh homequeue,3,1000,2243067
2,clh awesome,3,1000,2272459
2,serial,3,2000,416886
2,lockfree,3,2000,1169716
2,mutex homequeue,3,2000,1147913
2,mutex awesome,3,2000,1184769
2,clh homequeue,3,2000,1174608
2,clh awesome,3,2000,1205349
2,serial,3,4000,210399
2,lockfree,3,4000,601951
2,mutex homequeue,3,4000,592559
2,mutex awesome,3,4000,614745
2,clh homequeue,3,4000,602735
2,clh awesome,3,4000,619484
2,serial,3,8000,105651
2,lockfree,3,8000,302751
2,mutex homequeue,3,8000,300716
2,mutex awesome,3,8000,309546
2,clh homequeue,3,8000,305029
2,clh awesome,3,8000,313315
2,serial,7,1000,820911
2,lockfree,7,1000,4755155
2,mutex homequeue,7,1000,4876426
2,mutex awesome,7,1000,5066484
2,clh homequeue,7,1000,5092690
2,clh awesome,7,1000,4702737
2,serial,7,2000,417732
2,lockfree,7,2000,2638346
2,mutex homequeue,7,2000,2621158
2,mutex awesome,7,2000,2733617
2,clh homequeue,7,2000,2689548
2,clh awesome,7,2000,2789009
2,serial,7,4000,210392
2,lockfree,7,4000,1353142
2,mutex homequeue,7,4000,1334584
2,mutex awesome,7,4000,1422596
2,clh homequeue,7,4000,1383789
2,clh awesome,7,4000,1437250
2,serial,7,8000,105553
2,lockfree,7,8000,687972
2,mutex homequeue,7,8000,683459
2,mutex awesome,7,8000,728166
2,clh homequeue,7,8000,694425
2,clh awesome,7,8000,731112
2,serial,13,1000,820833
2,lockfree,13,1000,3216913
2,mutex homequeue,13,1000,4075425
2,mutex awesome,13,1000,3096839
2,clh homequeue,13,1000,3407100
2,clh awesome,13,1000,2216079
2,serial,13,2000,417937
2,lockfree,13,2000,4290204
2,mutex homequeue,13,2000,4546707
2,mutex awesome,13,2000,4890292
2,clh homequeue,13,2000,4904437
2,clh awesome,13,2000,3036906
2,serial,13,4000,210496
2,lockfree,13,4000,2391144
2,mutex homequeue,13,4000,2501383
2,mutex awesome,13,4000,2661841
2,clh homequeue,13,4000,2529729
2,clh awesome,13,4000,2672346
2,serial,13,8000,105898
2,lockfree,13,8000,1192353
2,mutex homequeue,13,8000,1277038
2,mutex awesome,13,8000,1351170
2,clh homequeue,13,8000,1277290
2,clh awesome,13,8000,1355696
2,serial,27,1000,820260
2,lockfree,27,1000,278398
2,mutex homequeue,27,1000,839328
2,mutex awesome,27,1000,2577573
2,clh homequeue,27,1000,222151
2,clh awesome,27,1000,1400394
2,serial,27,2000,418122
2,lockfree,27,2000,1840150
2,mutex homequeue,27,2000,1112741
2,mutex awesome,27,2000,3390407
2,clh homequeue,27,2000,1114797
2,clh awesome,27,2000,1702310
2,serial,27,4000,210438
2,lockfree,27,4000,799967
2,mutex homequeue,27,4000,889889
2,mutex awesome,27,4000,2136073
2,clh homequeue,27,4000,149530
2,clh awesome,27,4000,2248160
2,serial,27,8000,106029
2,lockfree,27,8000,651613
2,mutex homequeue,27,8000,139735
2,mutex awesome,27,8000,1193886
2,clh homequeue,27,8000,100323
2,clh awesome,27,8000,1139313
3,serial,3,1000,821130
3,lockfree,3,1000,2220132
3,mutex homequeue,3,1000,2125549
3,mutex awesome,3,1000,2197975
3,clh homequeue,3,1000,2225503
3,clh awesome,3,1000,2275975
3,serial,3,2000,416955
3,lockfree,3,2000,1170285
3,mutex homequeue,3,2000,1126127
3,mutex awesome,3,2000,1174755
3,clh homequeue,3,2000,1175629
3,clh awesome,3,2000,1205295
3,serial,3,4000,210414
3,lockfree,3,4000,588962
3,mutex homequeue,3,4000,592933
3,mutex awesome,3,4000,607674
3,clh homequeue,3,4000,603463
3,clh awesome,3,4000,618531
3,serial,3,8000,105645
3,lockfree,3,8000,299989
3,mutex homequeue,3,8000,301115
3,mutex awesome,3,8000,312266
3,clh homequeue,3,8000,305078
3,clh awesome,3,8000,313323
3,serial,7,1000,821436
3,lockfree,7,1000,4747740
3,mutex homequeue,7,1000,4922909
3,mutex awesome,7,1000,5081851
3,clh homequeue,7,1000,5029356
3,clh awesome,7,1000,4065809
3,serial,7,2000,417732
3,lockfree,7,2000,2634517
3,mutex homequeue,7,2000,2618194
3,mutex awesome,7,2000,2761903
3,clh homequeue,7,2000,2684933
3,clh awesome,7,2000,2755563
3,serial,7,4000,210434
3,lockfree,7,4000,1355785
3,mutex homequeue,7,4000,1352155
3,mutex awesome,7,4000,1422561
3,clh homequeue,7,4000,1382367
3,clh awesome,7,4000,1444604
3,serial,7,8000,105546
3,lockfree,7,8000,692015
3,mutex homequeue,7,8000,680240
3,mutex awesome,7,8000,724433
3,clh homequeue,7,8000,685908
3,clh awesome,7,8000,727928
3,serial,13,1000,821236
3,lockfree,13,1000,3308248
