Trial,Program,n,W,T
1,serial,1,1000,820287
1,lockfree,1,1000,768255
1,mutex homequeue,1,1000,732052
1,mutex awesome,1,1000,732050
1,clh homequeue,1,1000,759255
1,clh awesome,1,1000,759773
1,serial,1,2000,417915
1,lockfree,1,2000,404298
1,mutex homequeue,1,2000,394141
1,mutex awesome,1,2000,395343
1,clh homequeue,1,2000,401863
1,clh awesome,1,2000,401840
1,serial,1,4000,210151
1,lockfree,1,4000,206613
1,mutex homequeue,1,4000,203873
1,mutex awesome,1,4000,203907
1,clh homequeue,1,4000,206092
1,clh awesome,1,4000,206117
1,serial,1,8000,105526
1,lockfree,1,8000,104627
1,mutex homequeue,1,8000,104001
1,mutex awesome,1,8000,103862
1,clh homequeue,1,8000,104428
1,clh awesome,1,8000,104519
1,serial,2,1000,821172
1,lockfree,2,1000,1519444
1,mutex homequeue,2,1000,1430022
1,mutex awesome,2,1000,1459642
1,clh homequeue,2,1000,1473676
1,clh awesome,2,1000,1517107
1,serial,2,2000,417260
1,lockfree,2,2000,785883
1,mutex homequeue,2,2000,776986
1,mutex awesome,2,2000,787770
1,clh homequeue,2,2000,790849
1,clh awesome,2,2000,801687
1,serial,2,4000,210296
1,lockfree,2,4000,405703
1,mutex homequeue,2,4000,401468
1,mutex awesome,2,4000,408641
1,clh homequeue,2,4000,399640
1,clh awesome,2,4000,409199
1,serial,2,8000,105790
1,lockfree,2,8000,203051
1,mutex homequeue,2,8000,204372
1,mutex awesome,2,8000,208096
1,clh homequeue,2,8000,205501
1,clh awesome,2,8000,208788
1,serial,3,1000,821121
1,lockfree,3,1000,2187453
1,mutex homequeue,3,1000,2129298
1,mutex awesome,3,1000,2185315
1,clh homequeue,3,1000,2228368
1,clh awesome,3,1000,2268945
1,serial,3,2000,416952
1,lockfree,3,2000,1146966
1,mutex homequeue,3,2000,1138698
1,mutex awesome,3,2000,1172325
1,clh homequeue,3,2000,1172046
1,clh awesome,3,2000,1205353
1,serial,3,4000,210417
1,lockfree,3,4000,598510
1,mutex homequeue,3,4000,593887
1,mutex awesome,3,4000,610107
1,clh homequeue,3,4000,598423
1,clh awesome,3,4000,619077
1,serial,3,8000,105639
1,lockfree,3,8000,303342
1,mutex homequeue,3,8000,301575
1,mutex awesome,3,8000,312014
1,clh homequeue,3,8000,304976
1,clh awesome,3,8000,313319
1,serial,7,1000,821282
1,lockfree,7,1000,4775387
1,mutex homequeue,7,1000,4856496
1,mutex awesome,7,1000,5043264
1,clh homequeue,7,1000,4918752
1,clh awesome,7,1000,4193787
1,serial,7,2000,417809
1,lockfree,7,2000,2601134
1,mutex homequeue,7,2000,2593664
1,mutex awesome,7,2000,2756851
1,clh homequeue,7,2000,2692743
1,clh awesome,7,2000,2798646
1,serial,7,4000,210420
1,lockfree,7,4000,1358884
1,mutex homequeue,7,4000,1338341
1,mutex awesome,7,4000,1423613
1,clh homequeue,7,4000,1346704
1,clh awesome,7,4000,1433173
1,serial,7,8000,105553
1,lockfree,7,8000,686897
1,mutex homequeue,7,8000,678425
1,mutex awesome,7,8000,725256
1,clh homequeue,7,8000,669208
1,clh awesome,7,8000,730468
1,serial,13,1000,821093
1,lockfree,13,1000,3333737
1,mutex homequeue,13,1000,4112273
1,mutex awesome,13,1000,3000277
1,clh homequeue,13,1000,3437314
1,clh awesome,13,1000,2200410
1,serial,13,2000,417989
1,lockfree,13,2000,3869894
1,mutex homequeue,13,2000,4836385
1,mutex awesome,13,2000,4951157
1,clh homequeue,13,2000,4902438
1,clh awesome,13,2000,3275608
1,serial,13,4000,210457
1,lockfree,13,4000,2252479
1,mutex homequeue,13,4000,2509064
1,mutex awesome,13,4000,2664315
1,clh homequeue,13,4000,2480662
1,clh awesome,13,4000,2660490
1,serial,13,8000,105885
1,lockfree,13,8000,1122838
1,mutex homequeue,13,8000,1277562
1,mutex awesome,13,8000,1355883
1,clh homequeue,13,8000,1282154
1,clh awesome,13,8000,1341709
1,serial,27,1000,820476
1,lockfree,27,1000,198625
1,mutex homequeue,27,1000,3022188
1,mutex awesome,27,1000,2493291
1,clh homequeue,27,1000,524512
1,clh awesome,27,1000,1462013
1,serial,27,2000,418176
1,lockfree,27,2000,1019015
1,mutex homequeue,27,2000,1555206
1,mutex awesome,27,2000,2873176
1,clh homequeue,27,2000,455296
1,clh awesome,27,2000,2376884
1,serial,27,4000,210492
1,lockfree,27,4000,810335
1,mutex homequeue,27,4000,828172
1,mutex awesome,27,4000,2169564
1,clh homequeue,27,4000,361671
1,clh awesome,27,4000,2438425
1,serial,27,8000,106029
1,lockfree,27,8000,522883
1,mutex homequeue,27,8000,736137
1,mutex awesome,27,8000,1291631
1,clh homequeue,27,8000,47820
1,clh awesome,27,8000,1392394
2,serial,1,1000,820094
2,lockfree,1,1000,767618
2,mutex homequeue,1,1000,732922
2,mutex awesome,1,1000,730850
2,clh homequeue,1,1000,758779
2,clh awesome,1,1000,759630
2,serial,1,2000,417898
2,lockfree,1,2000,404368
2,mutex homequeue,1,2000,394086
2,mutex awesome,1,2000,393559
2,clh homequeue,1,2000,401721
2,clh awesome,1,2000,401923
2,serial,1,4000,210147
2,lockfree,1,4000,206605
2,mutex homequeue,1,4000,203995
2,mutex awesome,1,4000,203879
2,clh homequeue,1,4000,205954
2,clh awesome,1,4000,206028
2,serial,1,8000,105528
2,lockfree,1,8000,104585
2,mutex homequeue,1,8000,103876
2,mutex awesome,1,8000,103906
2,clh homequeue,1,8000,104493
2,clh awesome,1,8000,104487
2,serial,2,1000,820732
2,lockfree,2,1000,1512749
2,mutex homequeue,2,1000,1431275
2,mutex awesome,2,1000,1456326
2,clh homequeue,2,1000,1501166
2,clh awesome,2,1000,1519854
2,serial,2,2000,417230
2,lockfree,2,2000,786447
2,mutex homequeue,2,2000,773478
2,mutex awesome,2,2000,778708
2,clh homequeue,2,2000,787830
2,clh awesome,2,2000,801852
2,serial,2,4000,210294
2,lockfree,2,4000,405762
2,mutex homequeue,2,4000,400384
2,mutex awesome,2,4000,409515
2,clh homequeue,2,4000,404840
2,clh awesome,2,4000,412054
2,serial,2,8000,105790
2,lockfree,2,8000,203477
2,mutex homequeue,2,8000,204323
2,mutex awesome,2,8000,208099
2,clh homequeue,2,8000,205576
2,clh awesome,2,8000,208950
2,serial,3,1000,821331
2,lockfree,3,1000,2245693
2,mutex homequeue,3,1000,2113861
2,mutex awesome,3,1000,2178836
2,clh homequeue,3,1000,2235144
2,clh awesome,3,1000,2268139
2,serial,3,2000,416964
2,lockfree,3,2000,1173732
2,mutex homequeue,3,2000,1134527
2,mutex awesome,3,2000,1182827
2,clh homequeue,3,2000,1167933
2,clh awesome,3,2000,1201396
2,serial,3,4000,210441
2,lockfree,3,4000,589800
2,mutex homequeue,3,4000,592957
2,mutex awesome,3,4000,610337
2,clh homequeue,3,4000,601867
2,clh awesome,3,4000,616326
2,serial,3,8000,105660
2,lockfree,3,8000,301580
2,mutex homequeue,3,8000,302290
2,mutex awesome,3,8000,310347
2,clh homequeue,3,8000,304924
2,clh awesome,3,8000,313224
2,serial,7,1000,821233
2,lockfree,7,1000,4666051
2,mutex homequeue,7,1000,4854827
2,mutex awesome,7,1000,5066825
2,clh homequeue,7,1000,5040916
2,clh awesome,7,1000,3832418
2,serial,7,2000,417816
2,lockfree,7,2000,2636736
2,mutex homequeue,7,2000,2563104
2,mutex awesome,7,2000,2731707
2,clh homequeue,7,2000,2701457
2,clh awesome,7,2000,2799615
2,serial,7,4000,210420
2,lockfree,7,4000,1351831
2,mutex homequeue,7,4000,1344975
2,mutex awesome,7,4000,1425645
2,clh homequeue,7,4000,1372528
2,clh awesome,7,4000,1436683
2,serial,7,8000,105553
2,lockfree,7,8000,692725
2,mutex homequeue,7,8000,677494
2,mutex awesome,7,8000,729373
2,clh homequeue,7,8000,700806
2,clh awesome,7,8000,727889
2,serial,13,1000,820742
2,lockfree,13,1000,3327304
2,mutex homequeue,13,1000,4037958
2,mutex awesome,13,1000,3070714
2,clh homequeue,13,1000,3519766
2,clh awesome,13,1000,2559679
2,serial,13,2000,417924
2,lockfree,13,2000,4128420
2,mutex homequeue,13,2000,4841732
2,mutex awesome,13,2000,4985399
2,clh homequeue,13,2000,4874852
2,clh awesome,13,2000,3313859
2,serial,13,4000,210483
2,lockfree,13,4000,2092212
2,mutex homequeue,13,4000,2512239
2,mutex awesome,13,4000,2657956
2,clh homequeue,13,4000,2522531
2,clh awesome,13,4000,2674415
2,serial,13,8000,105911
2,lockfree,13,8000,1229102
2,mutex homequeue,13,8000,1278334
2,mutex awesome,13,8000,1353915
2,clh homequeue,13,8000,1276476
2,clh awesome,13,8000,1347674
2,serial,27,1000,820773
2,lockfree,27,1000,1722087
2,mutex homequeue,27,1000,2890395
2,mutex awesome,27,1000,2353924
2,clh homequeue,27,1000,674670
2,clh awesome,27,1000,1678616
2,serial,27,2000,418230
2,lockfree,27,2000,799143
2,mutex homequeue,27,2000,1777603
2,mutex awesome,27,2000,2887770
2,clh homequeue,27,2000,1071725
2,clh awesome,27,2000,2881974
2,serial,27,4000,210465
2,lockfree,27,4000,980825
2,mutex homequeue,27,4000,1272662
2,mutex awesome,27,4000,1782656
2,clh homequeue,27,4000,576491
2,clh awesome,27,4000,1376470
2,serial,27,8000,106029
2,lockfree,27,8000,663044
2,mutex homequeue,27,8000,170240
2,mutex awesome,27,8000,1277060
2,clh homequeue,27,8000,128802
2,clh awesome,27,8000,922594
3,serial,1,1000,820683
3,lockfree,1,1000,769911
3,mutex homequeue,1,1000,735604
3,mutex awesome,1,1000,736131
3,clh homequeue,1,1000,763376
3,clh awesome,1,1000,763344
3,serial,1,2000,417931
3,lockfree,1,2000,404162
3,mutex homequeue,1,2000,394266
3,mutex awesome,1,2000,393677
3,clh homequeue,1,2000,402083
3,clh awesome,1,2000,401873
3,serial,1,4000,210141
3,lockfree,1,4000,206607
3,mutex homequeue,1,4000,203858
3,mutex awesome,1,4000,203861
3,clh homequeue,1,4000,205949
3,clh awesome,1,4000,205993
3,serial,1,8000,105508
3,lockfree,1,8000,104608
3,mutex homequeue,1,8000,103964
3,mutex awesome,1,8000,103955
3,clh homequeue,1,8000,104431
3,clh awesome,1,8000,104489
3,serial,2,1000,821110
3,lockfree,2,1000,1521585
3,mutex homequeue,2,1000,1431121
3,mutex awesome,2,1000,1444171
